ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11225202,JB144349,1/13/18 18:19,054XX S WENTWORTH AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,225,2,3,37,6,,,2018,2/8/18 15:51,,,
11225200,JB144358,1/21/18 9:00,016XX W JONQUIL TER,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,FALSE,FALSE,2422,24,49,1,20,,,2018,2/8/18 15:51,,,
11225192,JB144133,1/19/18 7:00,021XX N CICERO AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,FALSE,FALSE,2522,25,31,19,20,,,2018,2/8/18 15:51,,,
11225184,JB144324,1/22/18 11:00,059XX S WESTERN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,DEPARTMENT STORE,FALSE,FALSE,825,8,16,66,11,,,2018,2/8/18 15:51,,,
11225182,JB144330,1/28/18 9:00,079XX S MAY ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,612,6,17,71,7,,,2018,2/8/18 15:51,,,
11225180,JB144233,1/1/18 7:00,123XX S NORMAL AVE,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,523,5,34,53,08A,,,2018,2/8/18 15:51,,,
11225171,JB144296,1/5/18 12:00,036XX S EMERALD AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,FALSE,TRUE,915,9,11,60,10,,,2018,2/8/18 15:51,,,
11225170,JB138022,1/31/18 20:00,0000X W TERMINAL ST,810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE,FALSE,1651,16,41,76,6,,,2018,2/8/18 15:51,,,
11225165,JB137814,2/1/18 14:50,060XX S VERNON AVE,4230,KIDNAPPING,UNLAWFUL RESTRAINT,STREET,FALSE,FALSE,313,3,20,42,26,,,2018,2/8/18 15:51,,,
11225140,JB144274,2/1/18 13:00,061XX S DR MARTIN LUTHER KING JR DR,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,GROCERY FOOD STORE,FALSE,FALSE,311,3,20,40,11,,,2018,2/8/18 15:51,,,
11225125,JB144071,1/29/18 7:00,058XX W WAVELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1633,16,38,15,14,,,2018,2/8/18 15:51,,,
11225121,JB135248,1/28/18 20:00,023XX W 35TH ST,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,912,9,11,59,08B,,,2018,2/8/18 15:51,,,
11225110,JB138950,2/1/18 16:20,029XX N NORDICA AVE,620,BURGLARY,UNLAWFUL ENTRY,STREET,FALSE,FALSE,2511,25,36,18,5,,,2018,2/8/18 15:51,,,
11225084,JB143930,2/1/18 20:30,015XX W 94TH ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2221,22,21,73,5,,,2018,2/8/18 15:51,,,
11225068,JB144077,1/30/18 10:00,028XX W WARREN BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1222,12,2,27,14,,,2018,2/8/18 15:51,,,
11225064,JB144123,1/31/18 0:01,032XX W CONGRESS PKWY,610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,FALSE,FALSE,1134,11,28,27,5,,,2018,2/8/18 15:51,,,
11225039,JB137202,2/1/18 10:12,121XX S PERRY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,523,5,9,53,08B,,,2018,2/8/18 15:51,,,
11225030,JB144178,1/24/18 20:00,050XX S CICERO AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,814,8,23,56,6,,,2018,2/8/18 15:51,,,
11225016,JB144155,1/11/18 8:00,041XX W ADAMS ST,1120,DECEPTIVE PRACTICE,FORGERY,STREET,FALSE,FALSE,1115,11,28,26,10,,,2018,2/8/18 15:51,,,
11225011,JB144149,1/15/18 18:30,065XX S WHIPPLE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,831,8,15,66,11,,,2018,2/8/18 15:51,,,
11225007,JB144108,1/27/18 16:15,084XX S HOLLAND RD,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,622,6,21,44,6,,,2018,2/8/18 15:51,,,
11225004,JB144117,1/28/18 9:48,084XX S HOLLAND RD,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,622,6,21,44,6,,,2018,2/8/18 15:51,,,
